K,n_features_used,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_ci_lower,balanced_accuracy_ci_upper,auroc_mean,auroc_std,auroc_ci_lower,auroc_ci_upper,sensitivity_mean,sensitivity_std,sensitivity_ci_lower,sensitivity_ci_upper,specificity_mean,specificity_std,specificity_ci_lower,specificity_ci_upper,precision_mean,precision_std,precision_ci_lower,precision_ci_upper,f1_mean,f1_std,f1_ci_lower,f1_ci_upper,mcc_mean,mcc_std,mcc_ci_lower,mcc_ci_upper
5,5,0.9083333333333332,0.06874362931155632,0.8690476190476192,0.9464285714285715,0.961904761904762,0.05853679020503423,0.9238095238095239,0.9880952380952381,0.9,0.11761037176408067,0.8285714285714286,0.9571428571428573,0.9166666666666667,0.0878410461157883,0.8666666666666666,0.9666666666666668,0.931547619047619,0.07318443706947615,0.8898660714285714,0.975,0.9105860805860806,0.07200273291362563,0.868606227106227,0.9503296703296703,0.8246043698582252,0.13724364541177828,0.7457099119555077,0.9001568631194055
10,10,0.8785714285714287,0.0883415689482183,0.8226190476190476,0.9273809523809524,0.9738095238095237,0.049499892474643425,0.9404761904761905,1.0,0.9571428571428571,0.06900655593423545,0.9142857142857143,1.0,0.8,0.17213259316477408,0.7,0.9,0.8625,0.11405250216908355,0.7971874999999999,0.9291666666666666,0.9021153846153848,0.06559867340293106,0.8608333333333335,0.9385897435897437,0.7822028680150132,0.16426251589655746,0.6748659744980896,0.8707161126571533
15,15,0.9023809523809524,0.06491461919580489,0.8666666666666666,0.9428571428571428,0.980952380952381,0.038555421592035295,0.9547619047619049,1.0,0.9714285714285715,0.06023386019368344,0.9285714285714286,1.0,0.8333333333333334,0.13608276348795434,0.75,0.9166666666666666,0.881547619047619,0.09136109424851505,0.8291666666666666,0.9375248015873012,0.9205219780219782,0.05095324282185213,0.8919505494505495,0.9523095238095238,0.8269603638578233,0.11346676890048853,0.7647325726217725,0.8987096447261359
20,20,0.9107142857142856,0.07192289269996771,0.869047619047619,0.9523809523809523,0.9642857142857142,0.054119768638832756,0.930952380952381,0.9952380952380953,0.9714285714285715,0.06023386019368344,0.9285714285714286,1.0,0.85,0.14593250596181886,0.7666666666666666,0.9333333333333333,0.894047619047619,0.09862794348159017,0.8371031746031747,0.9509920634920637,0.9271886446886448,0.05683726994650246,0.8946428571428573,0.9608333333333334,0.8415691074748267,0.12603108500800592,0.7692419301040683,0.9147989727306124
30,30,0.9261904761904761,0.08011549989393582,0.8785714285714284,0.9666666666666668,0.9785714285714286,0.04552263618952378,0.95,1.0,0.9857142857142858,0.04517539514526258,0.9571428571428571,1.0,0.8666666666666668,0.1314684396244359,0.7833333333333334,0.9333333333333333,0.9027777777777779,0.0941990275434065,0.8486111111111111,0.9527777777777778,0.9408333333333333,0.06531618255611471,0.9008333333333335,0.9741666666666667,0.8672477595264656,0.1498494278503451,0.7745967675508042,0.9427907427483028
50,50,0.9261904761904761,0.07138446610085353,0.8845238095238095,0.9666666666666668,0.980952380952381,0.04461418832557206,0.9523809523809523,1.0,0.9857142857142858,0.04517539514526258,0.9571428571428571,1.0,0.8666666666666668,0.1314684396244359,0.7833333333333334,0.9333333333333333,0.9037698412698413,0.09033650724544443,0.851388888888889,0.9527777777777778,0.9407142857142858,0.057584273909313886,0.9072619047619048,0.9741666666666667,0.8692378481612282,0.1271700698067691,0.7956849535741535,0.9427907427483028
70,70,0.9178571428571427,0.06650822063052546,0.8785714285714284,0.9583333333333334,0.980952380952381,0.04461418832557206,0.9523809523809523,1.0,0.9857142857142858,0.04517539514526258,0.9571428571428571,1.0,0.85,0.12297746456210365,0.7833333333333333,0.9166666666666667,0.8912698412698413,0.08396501995819212,0.8440476190476189,0.9402777777777779,0.934047619047619,0.0536850646623477,0.9032142857142856,0.9666666666666666,0.8546291045442249,0.11858049773024855,0.7852625381081568,0.9269562819149832
90,90,0.9428571428571428,0.06659103797905724,0.9023809523809524,0.9833333333333334,0.9833333333333334,0.03731002943981955,0.9595238095238094,1.0,0.9857142857142858,0.04517539514526258,0.9571428571428571,1.0,0.9,0.11653431646335018,0.8333333333333333,0.9666666666666668,0.9259920634920634,0.0829284381279434,0.8769841269841271,0.975,0.9532142857142858,0.055254427662098385,0.9197619047619048,0.9866666666666667,0.8972296181789187,0.12136538530777903,0.8236767235918439,0.9707825127659934
